Parameter,Details
"realm_name    
     ``string``
     Required  ","* Sets the intended kerberos realm name.        
* It is required for FreeIPA setups.
* A realm name is often, but not always the upper case version of the name of the DNS domain over which it presides.
* **Default value**: ``""OMNIA.TEST""``"
"domain name
     ``string``
     Required","* This variable is a mandatory requirement for FreeIPA setup
* **Default value**: ``""omnia.test""``"
